question_text,ideal_answer,key_points,difficulty,category
What is C programming language?,"C is a general-purpose, procedural programming language developed by Dennis Ritchie in 1972 at Bell Labs. It is widely used for system programming, operating systems, and embedded systems because it provides low-level memory access and high performance.",,easy,c
What is the structure of a C program?,"A basic C program consists of several parts including preprocessor directives, global declarations, the main() function, and user-defined functions. The main() function is the starting point of execution.",,easy,c
What is a variable in C?,A variable in C is a named memory location used to store data values during program execution. Each variable has a specific data type that determines the kind of data it can store.,,easy,c
What are data types in C?,"Data types define the type of data that a variable can store. Common data types in C include int, float, char, and double. They help the compiler allocate appropriate memory and ensure correct operations.",,easy,c
What is the purpose of the main() function in C?,"The main() function is the entry point of every C program. When the program runs, execution starts from the main() function and continues until the function ends.",,easy,c
What is a constant in C?,A constant is a fixed value that does not change during program execution. Constants can be defined using the const keyword or preprocessor directives like #define.,,easy,c
What are operators in C?,"Operators in C are symbols used to perform operations on variables and values. Examples include arithmetic operators, relational operators, logical operators, and assignment operators.",,easy,c
What is the printf() function?,printf() is a standard library function used to display output on the console. It is defined in the stdio.h header file and supports formatted output.,,easy,c
What is scanf() in C?,scanf() is a standard input function used to read data from the user through the keyboard. It is also defined in stdio.h and allows formatted input.,,easy,c
What is a loop in C?,"A loop is a control structure used to repeat a block of code multiple times until a condition becomes false. Common loops in C include for, while, and do-while.",,easy,c
What is an if statement in C?,An if statement is a conditional statement that executes a block of code only if a specified condition is true.,,easy,c
What is a function in C?,"A function is a block of code that performs a specific task. Functions help divide programs into smaller, reusable modules.",,easy,c
What is an array in C?,An array is a collection of elements of the same data type stored in contiguous memory locations. Arrays allow storing multiple values under a single variable name.,,easy,c
What is a pointer in C?,A pointer is a variable that stores the memory address of another variable. Pointers allow direct memory access and are widely used for dynamic memory management.,,easy,c
What is a string in C?,A string in C is an array of characters terminated by a null character ('\0'). Strings are used to store and manipulate text.,,easy,c
What is a header file in C?,"A header file contains function declarations, macros, and definitions used in a C program. They are included using the #include directive.",,easy,c
What is the return statement in C?,The return statement is used to exit a function and optionally send a value back to the calling function.,,easy,c
What is a comment in C?,Comments are non-executable statements used to explain code and improve readability. They are ignored by the compiler.,,easy,c
What is the break statement in C?,The break statement is used to exit a loop or switch statement immediately when a certain condition is met.,,easy,c
What is the continue statement in C?,The continue statement skips the current iteration of a loop and moves to the next iteration.,,easy,c
What is the difference between declaration and definition of a variable in C?,"A declaration tells the compiler about the existence and type of a variable without allocating memory. A definition actually allocates memory for the variable. In C, variables must be declared before use and defined once to store data.",,medium,c
What is the difference between call by value and call by reference in C?,"In call by value, a copy of the variable is passed to the function, so changes inside the function do not affect the original variable. In call by reference, the address of the variable is passed using pointers, allowing the function to modify the original value.",,medium,c
What are storage classes in C?,"Storage classes define the scope, lifetime, and visibility of variables in C programs. The main storage classes are auto, register, static, and extern.",,medium,c
What is the static keyword in C?,The static keyword is used to retain the value of a variable between function calls. It also restricts the visibility of variables and functions to the file where they are declared.,,medium,c
What is the extern keyword in C?,The extern keyword is used to declare a global variable that is defined in another file. It allows variables to be shared across multiple source files.,,medium,c
What is recursion in C?,Recursion is a programming technique where a function calls itself to solve a smaller version of the same problem. It continues until a base condition stops the recursive calls.,,medium,c
What is dynamic memory allocation in C?,"Dynamic memory allocation allows memory to be allocated at runtime using functions like malloc(), calloc(), realloc(), and free() from the stdlib.h library.",,medium,c
What is the difference between malloc() and calloc()?,malloc() allocates a single block of memory of a specified size but does not initialize it. calloc() allocates memory for multiple elements and initializes them to zero.,,medium,c
What is the difference between structure and union in C?,"In a structure, each member has its own memory location, while in a union all members share the same memory location. Structures store multiple values simultaneously, whereas unions store one value at a time.",,medium,c
What is a structure in C?,A structure is a user-defined data type that groups variables of different data types under one name. It is used to represent complex data objects.,,medium,c
What is a union in C?,A union is a user-defined data type where all members share the same memory location. Only one member can hold a value at a time.,,medium,c
What is a pointer to pointer in C?,A pointer to pointer is a variable that stores the address of another pointer. It is declared using double asterisks (**).,,medium,c
What is a function pointer in C?,A function pointer is a pointer that stores the address of a function. It allows functions to be passed as arguments or called dynamically.,,medium,c
What is pointer arithmetic?,Pointer arithmetic refers to operations performed on pointers such as incrementing or decrementing them to move through memory addresses.,,medium,c
What is the difference between array and pointer?,An array is a collection of elements stored in contiguous memory locations. A pointer is a variable that stores the address of another variable or memory location.,,medium,c
What is a macro in C?,A macro is a preprocessor directive that defines a constant or a function-like expression using #define. It replaces code during compilation.,,medium,c
What is a typedef in C?,typedef is used to create an alias or new name for an existing data type. It improves code readability and simplifies complex declarations.,,medium,c
What is file handling in C?,"File handling in C allows programs to read from and write to files using functions like fopen(), fclose(), fprintf(), and fscanf().",,medium,c
What are command line arguments in C?,Command line arguments allow parameters to be passed to a program when it is executed. They are received through the main() function using argc and argv.,,medium,c
What is a dangling pointer?,A dangling pointer is a pointer that refers to a memory location that has already been freed or deleted. Using such pointers can cause unpredictable behavior.,,medium,c
What is a null pointer?,A null pointer is a pointer that does not point to any valid memory location. It is usually assigned the value NULL.,,medium,c
What is a preprocessor in C?,"The preprocessor processes directives before compilation. It handles tasks like including header files, defining macros, and conditional compilation.",,medium,c
What is conditional compilation?,"Conditional compilation allows certain parts of code to be compiled only when specific conditions are met using directives like #ifdef, #ifndef, and #endif.",,medium,c
What is an enumeration in C?,An enumeration is a user-defined data type consisting of a set of named integer constants defined using the enum keyword.,,medium,c
What is the difference between getc() and getchar()?,"getc() reads a character from a file stream, while getchar() reads a character from standard input (keyboard).",,medium,c
What is the difference between fputs() and puts()?,"fputs() writes a string to a specified file stream, while puts() writes a string to standard output and automatically adds a newline.",,medium,c
What is the difference between ++i and i++?,#NAME?,,medium,c
