question_text,ideal_answer,key_points,difficulty,category
What is C programming language?,"C is a general-purpose, procedural programming language developed by Dennis Ritchie in 1972 at Bell Labs. It is widely used for system programming, operating systems, and embedded systems because it provides low-level memory access and high performance.","[""general purpose programming language"",""developed by Dennis Ritchie"",""procedural programming language"",""used for system programming"",""provides low level memory access""]",easy,c
What is the structure of a C program?,"A basic C program consists of several parts including preprocessor directives, global declarations, the main() function, and user-defined functions. The main() function is the starting point of execution.","[""preprocessor directives"",""global declarations"",""main function"",""user defined functions"",""program execution starts from main""]",easy,c
What is a variable in C?,A variable in C is a named memory location used to store data values during program execution. Each variable has a specific data type that determines the kind of data it can store.,"[""named memory location"",""stores data values"",""must have a data type"",""can change during execution"",""used in calculations and operations""]",easy,c
What are data types in C?,"Data types define the type of data that a variable can store. Common data types in C include int, float, char, and double. They help the compiler allocate appropriate memory and ensure correct operations.","[""defines type of data stored"",""examples: int float char double"",""determines memory size"",""ensures correct operations"",""important for variable declaration""]",easy,c
What is the purpose of the main() function in C?,"The main() function is the entry point of every C program. When the program runs, execution starts from the main() function and continues until the function ends.","[""entry point of program"",""execution starts from main"",""required in every C program"",""contains program logic"",""returns value to operating system""]",easy,c
What is a constant in C?,A constant is a fixed value that does not change during program execution. Constants can be defined using the const keyword or preprocessor directives like #define.,"[""fixed value"",""cannot change during execution"",""defined using const"",""can use #define"",""used for fixed values""]",easy,c
What are operators in C?,"Operators in C are symbols used to perform operations on variables and values. Examples include arithmetic operators, relational operators, logical operators, and assignment operators.","[""symbols performing operations"",""arithmetic operators"",""relational operators"",""logical operators"",""assignment operators""]",easy,c
What is the printf() function?,printf() is a standard library function used to display output on the console. It is defined in the stdio.h header file and supports formatted output.,"[""used to print output"",""defined in stdio.h"",""supports formatted output"",""used in console applications"",""commonly used for displaying results""]",easy,c
What is scanf() in C?,scanf() is a standard input function used to read data from the user through the keyboard. It is also defined in stdio.h and allows formatted input.,"[""reads input from user"",""defined in stdio.h"",""supports formatted input"",""used with variables"",""commonly used for keyboard input""]",easy,c
What is a loop in C?,"A loop is a control structure used to repeat a block of code multiple times until a condition becomes false. Common loops in C include for, while, and do-while.","[""repeats block of code"",""based on condition"",""types: for while do-while"",""used for iteration"",""reduces code repetition""]",easy,c
What is an if statement in C?,An if statement is a conditional statement that executes a block of code only if a specified condition is true.,"[""conditional statement"",""executes based on condition"",""used for decision making"",""can be combined with else"",""important control structure""]",easy,c
What is a function in C?,"A function is a block of code that performs a specific task. Functions help divide programs into smaller, reusable modules.","[""block of reusable code"",""performs specific task"",""improves modularity"",""reduces code duplication"",""can accept parameters""]",easy,c
What is an array in C?,An array is a collection of elements of the same data type stored in contiguous memory locations. Arrays allow storing multiple values under a single variable name.,"[""collection of elements"",""same data type"",""stored in contiguous memory"",""accessed using index"",""used to store multiple values""]",easy,c
What is a pointer in C?,A pointer is a variable that stores the memory address of another variable. Pointers allow direct memory access and are widely used for dynamic memory management.,"[""stores memory address"",""points to another variable"",""uses * symbol"",""allows direct memory access"",""important in system programming""]",easy,c
